,Chlorella sorokiniana,Coelastrum microporum,Monoraphidium minutum,Oocystis polymorpha,Scenedesmus acuminatus,Selenastrum capricornutum
Isolate 1C.m.,0.978113491,0.805997272,1.167913931,1.247780911,1.396211333,1.107424833
Isolate 2.M.m.,0.994225189,0.97632559,1.016731462,1.141499222,1.378257262,0.862892188
Isolate 3M.m.,0.511019114,1.087564725,1.428767559,1.388191603,1.711169125,1.047108877
Isolate 4O.p.,0.913625513,0.657748613,1.338815631,1.15156636,1.529238157,0.902879307
Isolate 5O.p.,0.95549649,0.856978841,1.045180808,1.128799067,1.3810069,0.863684712
Isolate 6S.a.,0.947549835,0.867960171,1.292756086,1.053095805,1.584624638,0.895943158
Isolate 7S.a.,0.917408658,1.149457061,1.180633101,1.306616558,1.318274423,0.977880056
Isolate 8S.c.,0.995149439,0.993869993,1.292756086,1.236675833,1.296350321,0.943158529
