Treatment_Code,Treatment_Code_Number,Treatment_Description,Species_1,Species_2,Axenic_State,Plate_Well,Monoculture_v_Biculture,Plate,Well,Well.ID,Time_Treatment,Mean.RFU..Chl.a70.460.685.,Std.Dev.RFU..Chl.a70.460.685.,CV.RFU..Chl.a70.460.685.,Mean.RFU..Chl.a100.460.685.,Std.Dev.RFU..Chl.a100.460.685.,CV.RFU..Chl.a100.460.685.,Reading.Date.Time,Time
25B,25,Mm axenic invaded with Sc axenic,Mm,Sc,axenic,Upper_E4,Biculture,Upper,E4,SPL36,10.25_axenic_Mm,7,3.898,57.512,8,5.94,78.611,5/1/2018 10:15,10.25
25C,25,Mm axenic invaded with Sc axenic,Mm,Sc,axenic,Lower_D1,Biculture,Lower,D1,SPL25,10.25_axenic_Mm,10,13.556,129.796,14,17.088,125.034,5/1/2018 10:50,10.25
3A,3,Mm axenic Monoculture ,Mm,NA,axenic,Lower_F2,Monoculture,Lower,F2,SPL42,10.25_axenic_Mm,13,14.387,110.673,13,11.695,86.989,5/1/2018 10:50,10.25
3B,3,Mm axenic Monoculture ,Mm,NA,axenic,Lower_E8,Monoculture,Lower,E8,SPL40,10.25_axenic_Mm,7,5.6,78.751,6,7.159,119.315,5/1/2018 10:50,10.25
3C,3,Mm axenic Monoculture ,Mm,NA,axenic,Upper_E6,Monoculture,Upper,E6,SPL38,10.25_axenic_Mm,5,6.723,128.732,9,8.069,90.778,5/1/2018 10:15,10.25
22A,22,Mm xenic invaded with Cm xenic,Mm,Cm,xenic,Lower_F5,Biculture,Lower,F5,SPL45,10.25_xenic_Mm,6,6.747,121.454,9,6.928,76.98,5/1/2018 10:50,10.25
22B,22,Mm xenic invaded with Cm xenic,Mm,Cm,xenic,Upper_E1,Biculture,Upper,E1,SPL33,10.25_xenic_Mm,12,15.145,127.385,11,7.382,67.113,5/1/2018 10:15,10.25
22C,22,Mm xenic invaded with Cm xenic,Mm,Cm,xenic,Upper_B5,Biculture,Upper,B5,SPL13,10.25_xenic_Mm,6,5.419,88.668,9,5.593,65.369,5/1/2018 10:15,10.25
24A,24,Mm xenic invaded with Sa xenic,Mm,Sa,xenic,Upper_C4,Biculture,Upper,C4,SPL20,10.25_xenic_Mm,7,3.667,50.769,5,7.452,163.574,5/1/2018 10:15,10.25
24B,24,Mm xenic invaded with Sa xenic,Mm,Sa,xenic,Lower_E2,Biculture,Lower,E2,SPL34,10.25_xenic_Mm,8,11.314,141.421,12,13.105,112.332,5/1/2018 10:50,10.25
24C,24,Mm xenic invaded with Sa xenic,Mm,Sa,xenic,Lower_B6,Biculture,Lower,B6,SPL14,10.25_xenic_Mm,9,7.176,82.804,8,6.285,81.977,5/1/2018 10:50,10.25
26A,26,Mm xenic invaded with Sc xenic,Mm,Sc,xenic,Lower_B8,Biculture,Lower,B8,SPL16,10.25_xenic_Mm,8,6.784,89.793,10,5.812,60.822,5/1/2018 10:50,10.25
26B,26,Mm xenic invaded with Sc xenic,Mm,Sc,xenic,Upper_D2,Biculture,Upper,D2,SPL26,10.25_xenic_Mm,9,9.682,107.583,12,8.243,69.986,5/1/2018 10:15,10.25
26C,26,Mm xenic invaded with Sc xenic,Mm,Sc,xenic,Upper_F1,Biculture,Upper,F1,SPL41,10.25_xenic_Mm,13,14.595,115.22,9,13.458,151.4,5/1/2018 10:15,10.25
7A,7,Mm xenic Monoculture ,Mm,NA,xenic,Upper_A7,Monoculture,Upper,A7,SPL7,10.25_xenic_Mm,7,4.272,64.08,9,7.297,81.081,5/1/2018 10:15,10.25
7B,7,Mm xenic Monoculture ,Mm,NA,xenic,Lower_A2,Monoculture,Lower,A2,SPL2,10.25_xenic_Mm,15,8.028,54.323,7,6.481,97.211,5/1/2018 10:50,10.25
7C,7,Mm xenic Monoculture ,Mm,NA,xenic,Upper_F5,Monoculture,Upper,F5,SPL45,10.25_xenic_Mm,9,8.307,92.296,6,4.613,83.03,5/1/2018 10:15,10.25
15A,15,Sa axenic invaded with Cm axenic,Sa,Cm,axenic,Lower_C4,Biculture,Lower,C4,SPL20,10.25_axenic_Sa,10,7.085,72.458,6,5.897,91.509,5/1/2018 10:50,10.25
15B,15,Sa axenic invaded with Cm axenic,Sa,Cm,axenic,Lower_F6,Biculture,Lower,F6,SPL46,10.25_axenic_Sa,9,10.084,109.349,11,5.503,52.129,5/1/2018 10:50,10.25
15C,15,Sa axenic invaded with Cm axenic,Sa,Cm,axenic,Upper_D5,Biculture,Upper,D5,SPL29,10.25_axenic_Sa,19,6.207,33.451,16,9.662,59.973,5/1/2018 10:15,10.25
17A,17,Sa axenic invaded with Mm axenic,Sa,Mm,axenic,Upper_E2,Biculture,Upper,E2,SPL34,10.25_axenic_Sa,15,13.277,85.966,11,11.193,97.801,5/1/2018 10:15,10.25
17B,17,Sa axenic invaded with Mm axenic,Sa,Mm,axenic,Lower_C6,Biculture,Lower,C6,SPL22,10.25_axenic_Sa,9,4.95,54.997,10,7.563,73.983,5/1/2018 10:50,10.25
17C,17,Sa axenic invaded with Mm axenic,Sa,Mm,axenic,Lower_E7,Biculture,Lower,E7,SPL39,10.25_axenic_Sa,11,6.864,61.774,5,5.6,109.567,5/1/2018 10:50,10.25
19A,19,Sa axenic invaded with Sc axenic,Sa,Sc,axenic,Lower_D3,Biculture,Lower,D3,SPL27,10.25_axenic_Sa,9,7.085,76.823,8,4.746,62.819,5/1/2018 10:50,10.25
19B,19,Sa axenic invaded with Sc axenic,Sa,Sc,axenic,Lower_C8,Biculture,Lower,C8,SPL24,10.25_axenic_Sa,22,9.943,45.424,19,12.649,66.574,5/1/2018 10:50,10.25
19C,19,Sa axenic invaded with Sc axenic,Sa,Sc,axenic,Upper_C5,Biculture,Upper,C5,SPL21,10.25_axenic_Sa,13,13.295,102.267,10,8.732,84.504,5/1/2018 10:15,10.25
2A,2,Sa axenic Monoculture ,Sa,NA,axenic,Upper_B7,Monoculture,Upper,B7,SPL15,10.25_axenic_Sa,5,5.372,105.109,11,5.442,49.974,5/1/2018 10:15,10.25
2B,2,Sa axenic Monoculture ,Sa,NA,axenic,Upper_E7,Monoculture,Upper,E7,SPL39,10.25_axenic_Sa,11,7.35,69.635,12,6.679,55.149,5/1/2018 10:15,10.25
2C,2,Sa axenic Monoculture ,Sa,NA,axenic,Lower_F7,Monoculture,Lower,F7,SPL47,10.25_axenic_Sa,12,8.456,68.56,9,6.287,66.569,5/1/2018 10:50,10.25
16A,16,Sa xenic invaded with Cm xenic,Sa,Cm,xenic,Lower_E6,Biculture,Lower,E6,SPL38,10.25_xenic_Sa,14,5.362,39.233,14,8.308,57.519,5/1/2018 10:50,10.25
16B,16,Sa xenic invaded with Cm xenic,Sa,Cm,xenic,Upper_A4,Biculture,Upper,A4,SPL4,10.25_xenic_Sa,11,8.201,72.358,11,5.388,51.042,5/1/2018 10:15,10.25
16C,16,Sa xenic invaded with Cm xenic,Sa,Cm,xenic,Lower_E4,Biculture,Lower,E4,SPL36,10.25_xenic_Sa,17,6.93,41.86,14,8.201,58.576,5/1/2018 10:50,10.25
18A,18,Sa xenic invaded with Mm xenic,Sa,Mm,xenic,Lower_B7,Biculture,Lower,B7,SPL15,10.25_xenic_Sa,17,6.16,36.715,13,9.038,70.736,5/1/2018 10:50,10.25
18B,18,Sa xenic invaded with Mm xenic,Sa,Mm,xenic,Upper_C8,Biculture,Upper,C8,SPL24,10.25_xenic_Sa,13,10.659,81.296,18,6.214,34.735,5/1/2018 10:15,10.25
18C,18,Sa xenic invaded with Mm xenic,Sa,Mm,xenic,Lower_D8,Biculture,Lower,D8,SPL32,10.25_xenic_Sa,14,6.91,48.21,10,6.185,61.847,5/1/2018 10:50,10.25
20A,20,Sa xenic invaded with Sc xenic,Sa,Sc,xenic,Upper_F6,Biculture,Upper,F6,SPL46,10.25_xenic_Sa,14,8.1,58.32,17,11.092,63.584,5/1/2018 10:15,10.25
20B,20,Sa xenic invaded with Sc xenic,Sa,Sc,xenic,Lower_C7,Biculture,Lower,C7,SPL23,10.25_xenic_Sa,11,7.401,64.671,16,5.339,32.685,5/1/2018 10:50,10.25
20C,20,Sa xenic invaded with Sc xenic,Sa,Sc,xenic,Lower_D4,Biculture,Lower,D4,SPL28,10.25_xenic_Sa,18,6.133,34.283,16,5.615,34.145,5/1/2018 10:50,10.25
6A,6,Sa xenic Monoculture ,Sa,NA,xenic,Lower_D7,Monoculture,Lower,D7,SPL31,10.25_xenic_Sa,16,9.338,59.183,12,6.778,57.551,5/1/2018 10:50,10.25
6B,6,Sa xenic Monoculture ,Sa,NA,xenic,Upper_E5,Monoculture,Upper,E5,SPL37,10.25_xenic_Sa,18,9.772,53.304,13,7.96,60.712,5/1/2018 10:15,10.25
6C,6,Sa xenic Monoculture ,Sa,NA,xenic,Lower_C3,Monoculture,Lower,C3,SPL19,10.25_xenic_Sa,17,9.541,54.693,12,7.401,59.474,5/1/2018 10:50,10.25
27A,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Upper_F4,Biculture,Upper,F4,SPL44,10.25_axenic_Sc,7,5.339,72.798,9,5.612,62.361,5/1/2018 10:15,10.25
27B,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Lower_A8,Biculture,Lower,A8,SPL8,10.25_axenic_Sc,9,7.424,83.516,11,11.519,102.647,5/1/2018 10:50,10.25
27C,27,Sc axenic invaded with Cm axenic,Sc,Cm,axenic,Upper_C1,Biculture,Upper,C1,SPL17,10.25_axenic_Sc,17,11.392,68.811,10,12.508,122.359,5/1/2018 10:15,10.25
29A,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Lower_D2,Biculture,Lower,D2,SPL26,10.25_axenic_Sc,9,9.606,101.712,10,9.275,97.065,5/1/2018 10:50,10.25
29B,29,Sc axenic invaded with Sa axenic,Sc,Sa,axenic,Upper_B4,Biculture,Upper,B4,SPL12,10.25_axenic_Sc,8,6.444,85.291,4,3.539,79.638,5/1/2018 10:15,10.25
