,Chlorella sorokiniana,Coelastrum microporum,Monoraphidium minutum,Oocystis polymorpha,Scenedesmus acuminatus,Selenastrum capricornutum
Isolate 1C.M.,1.044675344,1.333249588,1.180717777,1.010729521,1.001244381,1.087581185
Isolate 2M.m,1.182761767,1.347277266,1.066751848,1.034264037,1.10076287,1.197134551
Isoalte 3M.m,1.091163395,1.078543476,1.076730292,1.190777558,1.170591025,1.186377339
Isolate 4O.p.,1.041836689,1.487778409,1.158267583,1.078736626,1.147360163,1.349007727
Isolate 5O.p.,1.272703442,1.323181086,1.12315824,1.02369224,1.010589019,1.168682356
Isolate 6S.a.,1.004390586,1.334099056,1.126383752,1.062216011,1.062017474,1.24217776
Isolate 7S.a.,0.949683171,1.331617704,1.122167686,1.015122358,1.259585922,1.310441684
Isolate 8S.C.,1.171017288,1.330093468,1.126383752,1.02110237,0.981266042,1.243936626
